time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,33.7,18.8,0.0,33,39221.69,Kitgum,3.2783,32.8867
2023-01-02,32.4,21.0,0.0,43,39555.09,Kitgum,3.2783,32.8867
2023-01-03,32.8,20.4,0.0,45,39531.37,Kitgum,3.2783,32.8867
2023-01-04,34.1,19.1,0.0,38,38593.91,Kitgum,3.2783,32.8867
2023-01-05,34.3,18.9,0.0,30,40281.3,Kitgum,3.2783,32.8867
2023-01-06,34.0,18.3,0.0,28,39345.32,Kitgum,3.2783,32.8867
2023-01-07,34.6,18.5,0.0,28,34961.02,Kitgum,3.2783,32.8867
2023-01-08,34.1,18.4,0.0,33,34607.42,Kitgum,3.2783,32.8867
2023-01-09,33.1,19.5,0.0,36,39508.19,Kitgum,3.2783,32.8867
2023-01-10,33.7,20.0,0.0,39,39249.41,Kitgum,3.2783,32.8867
2023-01-11,32.8,20.3,0.0,45,39942.75,Kitgum,3.2783,32.8867
2023-01-12,31.9,19.4,0.1,44,40165.56,Kitgum,3.2783,32.8867
2023-01-13,33.1,18.3,0.0,44,39787.19,Kitgum,3.2783,32.8867
2023-01-14,34.2,17.7,0.0,41,39769.91,Kitgum,3.2783,32.8867
2023-01-15,34.6,17.5,0.0,31,38354.83,Kitgum,3.2783,32.8867
2023-01-16,33.5,20.7,0.0,32,37435.27,Kitgum,3.2783,32.8867
2023-01-17,34.2,19.1,0.0,35,39974.04,Kitgum,3.2783,32.8867
2023-01-18,35.3,18.6,0.0,31,39956.6,Kitgum,3.2783,32.8867
2023-01-19,35.4,18.7,0.0,26,40193.74,Kitgum,3.2783,32.8867
2023-01-20,34.1,19.8,0.0,30,35446.4,Kitgum,3.2783,32.8867
2023-01-21,35.0,18.3,0.0,29,35561.32,Kitgum,3.2783,32.8867
2023-01-22,34.1,18.6,0.0,29,33792.4,Kitgum,3.2783,32.8867
2023-01-23,34.4,19.3,0.0,35,35995.23,Kitgum,3.2783,32.8867
2023-01-24,33.3,20.9,0.0,37,39302.4,Kitgum,3.2783,32.8867
2023-01-25,34.2,19.7,0.0,36,40262.96,Kitgum,3.2783,32.8867
2023-01-26,34.5,20.7,0.0,31,39231.13,Kitgum,3.2783,32.8867
2023-01-27,36.0,19.7,0.0,31,39991.48,Kitgum,3.2783,32.8867
2023-01-28,36.0,19.5,0.0,24,40577.85,Kitgum,3.2783,32.8867
2023-01-29,36.4,20.5,0.0,24,36377.64,Kitgum,3.2783,32.8867
2023-01-30,34.7,19.6,0.0,29,37783.43,Kitgum,3.2783,32.8867
2023-01-31,34.5,19.6,0.0,32,40611.52,Kitgum,3.2783,32.8867
